tweet_text,synthesized_summary,responder_role,secondary_annotation,disaster_type,information_type,input_text,source_row_id
"@tobeymonster Fire breaks out at collapsed factory in Bangladesh: SAVAR, Bangladesh (AP) — A fire broke out late Sunday i...  @lifestr3am",Firefighters should evaluate fire containment and spread risks at the collapsed factory in Bangladesh.,Firefighter,FC,Collapse,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Collapse
Tweet: @tobeymonster Fire breaks out at collapsed factory in Bangladesh: SAVAR, Bangladesh (AP) — A fire broke out late Sunday i...  @lifestr3am
Secondary Annotations: FC
Information Type: Other Useful Information",23000
Deadly typhoon that slammed Philippines may be strongest ever to hit land http://t.co/MdkGRDyNx9,The police should assess potential public safety threats and coordinate response efforts due to the deadly typhoon reported in the Philippines.,Police,DCC,Typhoon,Caution and advice,"Responder Roles: Police
Disaster Type: Typhoon
Tweet: Deadly typhoon that slammed Philippines may be strongest ever to hit land http://t.co/MdkGRDyNx9
Secondary Annotations: DCC
Information Type: Caution and advice",26043
RT @Mehwaesh: I'm collecting funds to send to Dhaka to help cover medical expenses etc. for #Savar victims. Pl donate &amp;/or RT http://t.…,Coordinate with local medical units to address potential needs for Savar collapse victims and facilitate donations for medical expenses.,EMS,CERT,Collapse,Donations and volunteering,"Responder Roles: EMS
Disaster Type: Collapse
Tweet: RT @Mehwaesh: I'm collecting funds to send to Dhaka to help cover medical expenses etc. for #Savar victims. Pl donate &amp;/or RT http://t.…
Secondary Annotations: CERT
Information Type: Donations and volunteering",22760
RT @STForeignDesk: Death toll in Philippines earthquake jumps to 93. http://t.co/uCkpZrOPPZ http://t.co/a1pNV1uKUS,"Prioritize medical response for potential casualties following the reported earthquake in the Philippines, with a focus on affected individuals.",EMS,MMU,Earthquake,Affected individuals,"Responder Roles: EMS
Disaster Type: Earthquake
Tweet: RT @STForeignDesk: Death toll in Philippines earthquake jumps to 93. http://t.co/uCkpZrOPPZ http://t.co/a1pNV1uKUS
Secondary Annotations: MMU
Information Type: Affected individuals",10754
"Building's owner is 6th person arrested in connection with the collapse of a building in Bangladesh, killing 363. http://t.co/fRCr7c113Z",Police should assess ongoing threats and ensure scene security following multiple arrests linked to the building collapse in Bangladesh.,Police,CPU,Collapse,Other Useful Information,"Responder Roles: Police
Disaster Type: Collapse
Tweet: Building's owner is 6th person arrested in connection with the collapse of a building in Bangladesh, killing 363. http://t.co/fRCr7c113Z
Secondary Annotations: CPU
Information Type: Other Useful Information",22982
RT @JillKerby: One dead and up to 60 missing after crude oil train explodes in Quebec town of Lac Megantic. http://t.co/8YgijADZvG via @Ind…,"Firefighters should focus on fire containment, while EMS prepares for triage and transport of casualties from the train explosion.",Firefighter/EMS,USAR/MMU,Derailment,Affected individuals,"Responder Roles: Firefighter, EMS
Disaster Type: Derailment
Tweet: RT @JillKerby: One dead and up to 60 missing after crude oil train explodes in Quebec town of Lac Megantic. http://t.co/8YgijADZvG via @Ind…
Secondary Annotations: USAR, MMU
Information Type: Affected individuals",16210
"RT @BreakingNews: At least 4 people killed, 63 injured in New York commuter train derailment, fire department says - @Reuters","Police should secure the area, firefighters must prepare for fire hazards, and EMS should coordinate triage and transport for the injured.",Police/Firefighter/EMS,DCC/USAR/MMU,Derailment,Affected individuals,"Responder Roles: Police, Firefighter, EMS
Disaster Type: Derailment
Tweet: RT @BreakingNews: At least 4 people killed, 63 injured in New York commuter train derailment, fire department says - @Reuters
Secondary Annotations: DCC, USAR, MMU
Information Type: Affected individuals",18141
From the messages:  1000 THINK GOD T Shirts were sent to West Texas Fire Department. We would love to see photos... http://t.co/yv2qAQLGZA,"Police should monitor for any public safety concerns or threats related to the explosion, as indicated by the tweet's context.",Police,DCC,Explosion,Sympathy and support,"Responder Roles: Police
Disaster Type: Explosion
Tweet: From the messages:  1000 THINK GOD T Shirts were sent to West Texas Fire Department. We would love to see photos... http://t.co/yv2qAQLGZA
Secondary Annotations: DCC
Information Type: Sympathy and support",27840
"#earthquake: M 1.1, northern Alaska http://t.co/shyXB2l2",Police should assess potential public safety risks and coordinate response efforts following the reported earthquake in northern Alaska.,Police,DCC,Earthquake,Not labeled,"Responder Roles: Police
Disaster Type: Earthquake
Tweet: #earthquake: M 1.1, northern Alaska http://t.co/shyXB2l2
Secondary Annotations: DCC
Information Type: Not labeled",2465
"RT @ReutersUS: Firefighters gain upper hand on Colorado wildfires, gird for long season http://t.co/PAlrvtdn",Firefighters should evaluate current containment strategies and readiness for a prolonged wildfire season.,Firefighter,FC,Wildfire,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: RT @ReutersUS: Firefighters gain upper hand on Colorado wildfires, gird for long season http://t.co/PAlrvtdn
Secondary Annotations: FC
Information Type: Other Useful Information",1085
"RT @MiChamoun: People, Coppa Final might be postponed. 5.9 magnitude earthquake this morning in Italy (epicenter Ferrara). 3 dead so far :/",Police should evaluate crowd control and safety measures following the reported earthquake and casualties in Italy.,Police,DCC,Earthquake,Affected individuals,"Responder Roles: Police
Disaster Type: Earthquake
Tweet: RT @MiChamoun: People, Coppa Final might be postponed. 5.9 magnitude earthquake this morning in Italy (epicenter Ferrara). 3 dead so far :/
Secondary Annotations: DCC
Information Type: Affected individuals",3774
"Fucking hell I can't believe this news about the helicopter crash. How frightening, my god.",Police should assess public sentiment and potential crowd control needs following the reported helicopter crash.,Police,DCC,Crash,Sympathy and support,"Responder Roles: Police
Disaster Type: Crash
Tweet: Fucking hell I can't believe this news about the helicopter crash. How frightening, my god.
Secondary Annotations: DCC
Information Type: Sympathy and support",13902
#nswfires: over 100 horses are currently being held at #Hawkesbury Showground. @nswdpi are boosting capacity to take further horses,Police should evaluate crowd control and security at the showground housing over 100 horses amid the wildfire situation.,Police,DCC,Wildfire,Not labeled,"Responder Roles: Police
Disaster Type: Wildfire
Tweet: #nswfires: over 100 horses are currently being held at #Hawkesbury Showground. @nswdpi are boosting capacity to take further horses
Secondary Annotations: DCC
Information Type: Not labeled",9513
Incredible details are emerging about Russia’s Chelyabinsk meteor http://t.co/eFQ0B4GT,Police should monitor for public safety threats and assess crowd control needs related to the meteorite incident in Chelyabinsk.,Police,DCC,Meteorite,Other Useful Information,"Responder Roles: Police
Disaster Type: Meteorite
Tweet: Incredible details are emerging about Russia’s Chelyabinsk meteor http://t.co/eFQ0B4GT
Secondary Annotations: DCC
Information Type: Other Useful Information",21559
"After deadly Brazil nightclub fire, safety questions emerge. http://t.co/ah4JK2v2",Police should evaluate safety concerns and manage crowd control in response to the nightclub fire incident.,Police,DCC,Fire,Infrastructure and utilities,"Responder Roles: Police
Disaster Type: Fire
Tweet: After deadly Brazil nightclub fire, safety questions emerge. http://t.co/ah4JK2v2
Secondary Annotations: DCC
Information Type: Infrastructure and utilities",12673
Dzohkhar Tsarnaev CHARGED In Boston Bombings While He Lay In His Hospital Bed http://t.co/cpcRAzvr46 via @HuffPostCrime,Police should assess potential public safety threats related to the suspect's hospital status and coordinate with security for scene protection.,Police,CPU,Bombings,Other Useful Information,"Responder Roles: Police
Disaster Type: Bombings
Tweet: Dzohkhar Tsarnaev CHARGED In Boston Bombings While He Lay In His Hospital Bed http://t.co/cpcRAzvr46 via @HuffPostCrime
Secondary Annotations: CPU
Information Type: Other Useful Information",11740
"RT @fondalo: After Earthquake hits Costa Rica, #socialmedia Exchange Site Reaffirms ... - http://t.co/qS7Lbewf",Police should assess potential public safety threats and coordinate response efforts following the earthquake in Costa Rica.,Police,DCC,Earthquake,Other Useful Information,"Responder Roles: Police
Disaster Type: Earthquake
Tweet: RT @fondalo: After Earthquake hits Costa Rica, #socialmedia Exchange Site Reaffirms ... - http://t.co/qS7Lbewf
Secondary Annotations: DCC
Information Type: Other Useful Information",2429
"RT @SteveSchmuhl: 32,000+ people evacuated in Colorado Springs #cofires","Firefighters should evaluate fire spread risks and prioritize safety for over 32,000 evacuated individuals in Colorado Springs.",Firefighter,USAR,Wildfire,Affected individuals,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: RT @SteveSchmuhl: 32,000+ people evacuated in Colorado Springs #cofires
Secondary Annotations: USAR
Information Type: Affected individuals",758
"New York derailment kills 4, hurts dozens – CNN International: New York derailment kills 4, hurts dozensCNN In... http://t.co/TGSPasjUeF",Police should assess scene security and coordinate with DCC for crowd control and evacuation following the New York derailment that killed 4 and injured many.,Police,DCC,Derailment,Affected individuals,"Responder Roles: Police
Disaster Type: Derailment
Tweet: New York derailment kills 4, hurts dozens – CNN International: New York derailment kills 4, hurts dozensCNN In... http://t.co/TGSPasjUeF
Secondary Annotations: DCC
Information Type: Affected individuals",18990
Explosion kills 39 at Venezuela's biggest refinery http://t.co/NaRZ04Om,"Firefighters should assess hazardous materials and fire risks, while EMS prepares for potential casualties and patient transport.",Firefighter/EMS,HAZMAT/MMU,Explosion,Affected individuals,"Responder Roles: Firefighter, EMS
Disaster Type: Explosion
Tweet: Explosion kills 39 at Venezuela's biggest refinery http://t.co/NaRZ04Om
Secondary Annotations: HAZMAT, MMU
Information Type: Affected individuals",6830
"So horrible - Texas Fertilizer Plant Explosion Rescuers Searching for Survivors, Missing People - ABC News http://t.co/qWYlqu8q2G (via @ABC)","Police should manage crowd control and coordinate with DCC, while firefighters assist USAR in locating potential survivors from the explosion.",Police/Firefighter,DCC/USAR,Explosion,Affected individuals,"Responder Roles: Police, Firefighter
Disaster Type: Explosion
Tweet: So horrible - Texas Fertilizer Plant Explosion Rescuers Searching for Survivors, Missing People - ABC News http://t.co/qWYlqu8q2G (via @ABC)
Secondary Annotations: DCC, USAR
Information Type: Affected individuals",27606
"Wind, Heat Hamper Colorado Wildfire Fight: Wind, Heat Hamper Colorado Wildfire Fight",Firefighters should evaluate how wind and heat are affecting wildfire containment efforts in Colorado.,Firefighter,FC,Wildfire,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Wind, Heat Hamper Colorado Wildfire Fight: Wind, Heat Hamper Colorado Wildfire Fight
Secondary Annotations: FC
Information Type: Other Useful Information",292
Surging Colorado wildfires forcing tens of thousands to flee:  http://t.co/2IAgwmMv,Firefighters should assess fire spread and prepare for rescues as Colorado wildfires force evacuations.,Firefighter,FC/USAR,Wildfire,Affected individuals,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Surging Colorado wildfires forcing tens of thousands to flee:  http://t.co/2IAgwmMv
Secondary Annotations: FC, USAR
Information Type: Affected individuals",823
Meteor blast injures hundreds in Russia http://t.co/KoYeBV6r: #news #breaking,Assess reported injuries from the meteor blast and prioritize medical support for affected individuals in Russia.,EMS,MMU,Meteorite,Affected individuals,"Responder Roles: EMS
Disaster Type: Meteorite
Tweet: Meteor blast injures hundreds in Russia http://t.co/KoYeBV6r: #news #breaking
Secondary Annotations: MMU
Information Type: Affected individuals",20342
"NYC train derailment leaves 4 dead, dozens injured: Four people were killed and more than 63 injured when a Ne... http://t.co/9DFt0862Ie","Police should assess scene security and support traffic control around the NYC train derailment, which has resulted in fatalities and injuries.",Police,DCC,Derailment,Affected individuals,"Responder Roles: Police
Disaster Type: Derailment
Tweet: NYC train derailment leaves 4 dead, dozens injured: Four people were killed and more than 63 injured when a Ne... http://t.co/9DFt0862Ie
Secondary Annotations: DCC
Information Type: Affected individuals",18417
"Unprecedented Colorado Wildfires Continue, As Strong Winds and Looting Add to the Problem http://t.co/HwKpHLBt",Firefighters should evaluate fire spread risks linked to strong winds and address safety concerns from reported looting.,Firefighter,FC,Wildfire,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Unprecedented Colorado Wildfires Continue, As Strong Winds and Looting Add to the Problem http://t.co/HwKpHLBt
Secondary Annotations: FC
Information Type: Other Useful Information",254
Brazil nightclub fire leaves 233 people dead – Washington Post: http://t.co/XW8qnlju Brazil nightclub fire leaves... http://t.co/9a6Zs13W,"Firefighters should focus on containment and search efforts, while EMS prepares for mass casualty response and urgent medical care.",Firefighter/EMS,FC/MMU,Fire,Affected individuals,"Responder Roles: Firefighter, EMS
Disaster Type: Fire
Tweet: Brazil nightclub fire leaves 233 people dead – Washington Post: http://t.co/XW8qnlju Brazil nightclub fire leaves... http://t.co/9a6Zs13W
Secondary Annotations: FC, MMU
Information Type: Affected individuals",12544
Surging Colorado wildfires forcing tens of thousands to flee  http://t.co/npn75MiV,Firefighters should assess fire spread and prepare for potential search and rescue operations for evacuees from the Colorado wildfires.,Firefighter,FC/USAR,Wildfire,Affected individuals,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Surging Colorado wildfires forcing tens of thousands to flee  http://t.co/npn75MiV
Secondary Annotations: FC, USAR
Information Type: Affected individuals",930
"RT @BBCNews: 9 bodies removed; final search for other Glasgow #helicopter crash victims later today, fire brigade says http://t.co/AF5XcMmW…",Police should secure the scene and coordinate with firefighters for the final search of crash victims.,Police/Firefighter,DCC/USAR,Crash,Affected individuals,"Responder Roles: Police, Firefighter
Disaster Type: Crash
Tweet: RT @BBCNews: 9 bodies removed; final search for other Glasgow #helicopter crash victims later today, fire brigade says http://t.co/AF5XcMmW…
Secondary Annotations: DCC, USAR
Information Type: Affected individuals",14645
RT @rcooley123: First Responder to Fertilizer Plant Explosion Arrested For Pipe Bomb | Occupy America http://t.co/BZ321Uqinn,Police should assess threats from the explosion and secure the scene against potential criminal activity.,Police,CPU,Explosion,Other Useful Information,"Responder Roles: Police
Disaster Type: Explosion
Tweet: RT @rcooley123: First Responder to Fertilizer Plant Explosion Arrested For Pipe Bomb | Occupy America http://t.co/BZ321Uqinn
Secondary Annotations: CPU
Information Type: Other Useful Information",27923
"Oil-laden freight train explodes in Canadian town, people killed  http://t.co/49pLXoSyph",Firefighters should assess fire spread and containment needs from the train explosion while prioritizing search and rescue efforts for affected individuals.,Firefighter,FC,Derailment,Affected individuals,"Responder Roles: Firefighter
Disaster Type: Derailment
Tweet: Oil-laden freight train explodes in Canadian town, people killed  http://t.co/49pLXoSyph
Secondary Annotations: FC
Information Type: Affected individuals",16202
"Bohol Island, Philippines Earthquake 2013 Leaves Multiple People Dead. Read more at: http://t.co/lRbuuPClP4... http://t.co/H1k2R941ED","Police should secure the area, firefighters may need to conduct rescues, and EMS must prepare for casualties following the earthquake.",Police/Firefighter/EMS,DCC/USAR/MMU,Earthquake,Affected individuals,"Responder Roles: Police, Firefighter, EMS
Disaster Type: Earthquake
Tweet: Bohol Island, Philippines Earthquake 2013 Leaves Multiple People Dead. Read more at: http://t.co/lRbuuPClP4... http://t.co/H1k2R941ED
Secondary Annotations: DCC, USAR, MMU
Information Type: Affected individuals",10220
RT @saved_rebel: @Deacon_Meach check cnn. Over 200+ people died in a nightclub in Brazil and most were in their late teens and early 20s.,"Assess potential casualties and prioritize medical response for affected individuals, especially vulnerable youth in the nightclub fire incident.",EMS,CERT/MMU,Fire,Affected individuals,"Responder Roles: EMS
Disaster Type: Fire
Tweet: RT @saved_rebel: @Deacon_Meach check cnn. Over 200+ people died in a nightclub in Brazil and most were in their late teens and early 20s.
Secondary Annotations: CERT, MMU
Information Type: Affected individuals",12449
7.6-magnitude quake hits on Costa Rican coast http://t.co/WmdiDVXx #cnn,"Police should coordinate crowd control, while firefighters prepare for structural damage and potential rescues after the earthquake.",Police/Firefighter,DCC/USAR,Earthquake,Other Useful Information,"Responder Roles: Police, Firefighter
Disaster Type: Earthquake
Tweet: 7.6-magnitude quake hits on Costa Rican coast http://t.co/WmdiDVXx #cnn
Secondary Annotations: DCC, USAR
Information Type: Other Useful Information",1480
"RT @robrfs: Total fire bans are being declared in greater Sydney, Greater Hunter, Illawarra and Central ranges until further notice due to …",Firefighters should monitor declared fire ban areas for potential wildfire threats and maintain readiness for response.,Firefighter,FC,Wildfire,Caution and advice,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: RT @robrfs: Total fire bans are being declared in greater Sydney, Greater Hunter, Illawarra and Central ranges until further notice due to …
Secondary Annotations: FC
Information Type: Caution and advice",9132
Paramedic vocal after Texas plant explosion facing charges http://t.co/47n4J2Qk4T #BreakingNews,Police should assess potential criminal activity and ensure scene security following the Texas plant explosion.,Police,CPU,Explosion,Affected individuals,"Responder Roles: Police
Disaster Type: Explosion
Tweet: Paramedic vocal after Texas plant explosion facing charges http://t.co/47n4J2Qk4T #BreakingNews
Secondary Annotations: CPU
Information Type: Affected individuals",27919
Helicopter crashes into pub in Glasgow http://t.co/At1OpYxbri,"Police should secure the crash site, while firefighters prepare for fire hazards and conduct search and rescue operations.",Police/Firefighter,DCC/USAR,Crash,Infrastructure and utilities,"Responder Roles: Police, Firefighter
Disaster Type: Crash
Tweet: Helicopter crashes into pub in Glasgow http://t.co/At1OpYxbri
Secondary Annotations: DCC, USAR
Information Type: Infrastructure and utilities",14198
"@lifestr3am Collapsed building owner arrested on India border: SAVAR, Bangladesh (AP) — The owner of an illegally-const...  @tobeymonster","Police should assess threats from the arrest and ensure security at the collapsed building site in Savar, Bangladesh.",Police,CPU,Collapse,Other Useful Information,"Responder Roles: Police
Disaster Type: Collapse
Tweet: @lifestr3am Collapsed building owner arrested on India border: SAVAR, Bangladesh (AP) — The owner of an illegally-const...  @tobeymonster
Secondary Annotations: CPU
Information Type: Other Useful Information",22979
Don't know what to do during and after a flood? Here are some tips : http://t.co/CXvsoR7AM1 #yycflood,Police should monitor public inquiries and ensure accurate dissemination of flood safety information.,Police,DCC,Floods,Caution and advice,"Responder Roles: Police
Disaster Type: Floods
Tweet: Don't know what to do during and after a flood? Here are some tips : http://t.co/CXvsoR7AM1 #yycflood
Secondary Annotations: DCC
Information Type: Caution and advice",8061
Mass Injuries Reported in Texas Fertilizer Plant Blast: The massive fire and explosion outside of Waco damaged... http://t.co/j8YWlYHYj8,"Police should secure the explosion site, while EMS prepares for mass casualty triage and transport of injured individuals.",Police/EMS,DCC/MMU,Explosion,Affected individuals,"Responder Roles: Police, EMS
Disaster Type: Explosion
Tweet: Mass Injuries Reported in Texas Fertilizer Plant Blast: The massive fire and explosion outside of Waco damaged... http://t.co/j8YWlYHYj8
Secondary Annotations: DCC, MMU
Information Type: Affected individuals",27178
#pakistan#news Military called in as deadly floods batter Australia: BRISBANE: Australia ramped up its military ... http://t.co/17IELV3J,Police should evaluate public safety risks from floods and coordinate with military for crowd management and possible evacuations.,Police,DCC,Floods,Affected individuals,"Responder Roles: Police
Disaster Type: Floods
Tweet: #pakistan#news Military called in as deadly floods batter Australia: BRISBANE: Australia ramped up its military ... http://t.co/17IELV3J
Secondary Annotations: DCC
Information Type: Affected individuals",19934
RT @Rep_JaniceHahn: I urge anyone having difficulty contacting US Citizen after #Typhoon #Haiyan to call 888-407-4747. Hotline staffed by c…,Police should monitor assistance calls and ensure effective dissemination of hotline information for those affected by the typhoon.,Police,DCC,Typhoon,Other Useful Information,"Responder Roles: Police
Disaster Type: Typhoon
Tweet: RT @Rep_JaniceHahn: I urge anyone having difficulty contacting US Citizen after #Typhoon #Haiyan to call 888-407-4747. Hotline staffed by c…
Secondary Annotations: DCC
Information Type: Other Useful Information",26427
"A 7.2-magnitude earthquake struck in southeastern Philippines, says USGS. via @cnnbrk",Firefighters should assess structural dangers and possible trapped individuals following the 7.2-magnitude earthquake in the southeastern Philippines.,Firefighter,USAR,Earthquake,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Earthquake
Tweet: A 7.2-magnitude earthquake struck in southeastern Philippines, says USGS. via @cnnbrk
Secondary Annotations: USAR
Information Type: Other Useful Information",9969
#AsiaPacific ▪ Bangladesh’s economic outlook darkens after factory collapse: NEW DELHI — Even before Banglades... http://t.co/z2dcEOGovU,Firefighters should assess for trapped individuals and structural integrity after the reported factory collapse in Bangladesh.,Firefighter,USAR,Collapse,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Collapse
Tweet: #AsiaPacific ▪ Bangladesh’s economic outlook darkens after factory collapse: NEW DELHI — Even before Banglades... http://t.co/z2dcEOGovU
Secondary Annotations: USAR
Information Type: Other Useful Information",22885
RT @IGLHR: Death toll reaches 820 at Bangladesh Rana Plaza Collapse.,Police should evaluate crowd control and security measures in response to the reported death toll from the collapse.,Police,DCC,Collapse,Affected individuals,"Responder Roles: Police
Disaster Type: Collapse
Tweet: RT @IGLHR: Death toll reaches 820 at Bangladesh Rana Plaza Collapse.
Secondary Annotations: DCC
Information Type: Affected individuals",23478
RT @waylonlewis: Flood in Boulder: #boulderflood http://t.co/7aJk1WEPNA,Police should monitor flood impacts and coordinate with DCC for effective emergency response in Boulder.,Police,DCC,Floods,Other Useful Information,"Responder Roles: Police
Disaster Type: Floods
Tweet: RT @waylonlewis: Flood in Boulder: #boulderflood http://t.co/7aJk1WEPNA
Secondary Annotations: DCC
Information Type: Other Useful Information",13064
"RT @Nightline: #LAXShooting survivor looked down barrel of gun, “prayed to God:” http://t.co/kyaowijYWR",Monitor for injuries among individuals affected by the reported shooting and prepare for medical response as needed.,EMS,MMU,Shootings,Affected individuals,"Responder Roles: EMS
Disaster Type: Shootings
Tweet: RT @Nightline: #LAXShooting survivor looked down barrel of gun, “prayed to God:” http://t.co/kyaowijYWR
Secondary Annotations: MMU
Information Type: Affected individuals",15665
"RT @YourAnonNews: 5,250 gallons of oil spills into the Platte river from Anadarko tank damaged by #COflood http://t.co/4WkeGzVrif",Police should evaluate public safety risks from the reported oil spill and coordinate with relevant agencies for response.,Police,DCC,Floods,Infrastructure and utilities,"Responder Roles: Police
Disaster Type: Floods
Tweet: RT @YourAnonNews: 5,250 gallons of oil spills into the Platte river from Anadarko tank damaged by #COflood http://t.co/4WkeGzVrif
Secondary Annotations: DCC
Information Type: Infrastructure and utilities",13706
#politics #political AP PHOTOS: Bangladesh building collapse:           ... http://t.co/a4beoG078k #news #media #usa #i,Firefighters should assess the collapsed building for possible trapped individuals and prepare for search and rescue efforts.,Firefighter,USAR,Collapse,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Collapse
Tweet: #politics #political AP PHOTOS: Bangladesh building collapse:           ... http://t.co/a4beoG078k #news #media #usa #i
Secondary Annotations: USAR
Information Type: Other Useful Information",22860
Russian city reports more than half of meteor-broken windows have been replaced - @AP http://t.co/JOHOJiqK,Police should assess public safety risks from broken windows and ensure secure areas in the affected city.,Police,DCC,Meteorite,Infrastructure and utilities,"Responder Roles: Police
Disaster Type: Meteorite
Tweet: Russian city reports more than half of meteor-broken windows have been replaced - @AP http://t.co/JOHOJiqK
Secondary Annotations: DCC
Information Type: Infrastructure and utilities",21425
News From Australia - captainmjolnir: Queensland is flooded (again) New South Wales is flooding (again)... http://t.co/of9BFCJt,Police should assess flooding impacts on safety and coordinate emergency responses with DCC.,Police,DCC,Floods,Other Useful Information,"Responder Roles: Police
Disaster Type: Floods
Tweet: News From Australia - captainmjolnir: Queensland is flooded (again) New South Wales is flooding (again)... http://t.co/of9BFCJt
Secondary Annotations: DCC
Information Type: Other Useful Information",19961
RT @SkyNews: Canada Explosion: Oil Train Derails In Quebec http://t.co/KnoBCMAWFe,Firefighters should assess potential fire hazards from the oil train derailment and prepare for containment and smoke response.,Firefighter,FC,Derailment,Other Useful Information,"Responder Roles: Firefighter
Disaster Type: Derailment
Tweet: RT @SkyNews: Canada Explosion: Oil Train Derails In Quebec http://t.co/KnoBCMAWFe
Secondary Annotations: FC
Information Type: Other Useful Information",16053
Via @weeklystandard- Mass Explosion in Texas http://t.co/TvoXP9l9Jn http://t.co/dfJOtheOWw,Police should assess potential threats and coordinate response efforts following the reported mass explosion in Texas.,Police,DCC,Explosion,Other Useful Information,"Responder Roles: Police
Disaster Type: Explosion
Tweet: Via @weeklystandard- Mass Explosion in Texas http://t.co/TvoXP9l9Jn http://t.co/dfJOtheOWw
Secondary Annotations: DCC
Information Type: Other Useful Information",27540
"The pilot of the fire-fighting plane tha crashed W of Ulladulla, NSW has died :-( @QldFire #nsw",Police should assess public safety threats and coordinate with DCC regarding the crash of a firefighting plane in Ulladulla.,Police,DCC,Wildfire,Affected individuals,"Responder Roles: Police
Disaster Type: Wildfire
Tweet: The pilot of the fire-fighting plane tha crashed W of Ulladulla, NSW has died :-( @QldFire #nsw
Secondary Annotations: DCC
Information Type: Affected individuals",9705
Building collapse in Bangladesh kills 87 - http://t.co/iAvkLab7nN,"Firefighters should assess for trapped individuals, while EMS prepares for casualties and coordinates medical response.",Firefighter/EMS,USAR/MMU,Collapse,Affected individuals,"Responder Roles: Firefighter, EMS
Disaster Type: Collapse
Tweet: Building collapse in Bangladesh kills 87 - http://t.co/iAvkLab7nN
Secondary Annotations: USAR, MMU
Information Type: Affected individuals",22731
"RT @ChannelNewsAsia: Singapore Armed Forces to help transport 1 million masks to 200,000 poorer households - will reach by Sunday #SGHaze",Police should coordinate with DCC for crowd control during the mask distribution to poorer households affected by haze.,Police,DCC,Haze,Donations and volunteering,"Responder Roles: Police
Disaster Type: Haze
Tweet: RT @ChannelNewsAsia: Singapore Armed Forces to help transport 1 million masks to 200,000 poorer households - will reach by Sunday #SGHaze
Secondary Annotations: DCC
Information Type: Donations and volunteering",24644
RT @FreeRider_B: @ArjayTaylor: I am in search of my Mother who was evac from #inglewood her name is Theresa Taylor 52yrs old. #yycflood p…,Police should assess the reported missing person and coordinate with DCC for effective search operations.,Police,DCC,Floods,Affected individuals,"Responder Roles: Police
Disaster Type: Floods
Tweet: RT @FreeRider_B: @ArjayTaylor: I am in search of my Mother who was evac from #inglewood her name is Theresa Taylor 52yrs old. #yycflood p…
Secondary Annotations: DCC
Information Type: Affected individuals",8050
Hundreds of homes destroyed in Colorado Springs fire: http://t.co/WYg7OQYg via @msnbc...they need HELP!!!,Firefighters should evaluate fire containment and initiate search and rescue efforts for destroyed homes in Colorado Springs.,Firefighter,FC/USAR,Wildfire,Infrastructure and utilities,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Hundreds of homes destroyed in Colorado Springs fire: http://t.co/WYg7OQYg via @msnbc...they need HELP!!!
Secondary Annotations: FC, USAR
Information Type: Infrastructure and utilities",916
"RT @TODAYonline: Train carrying crude oil derails in Quebec, 1 dead, explosions destroy town’s centre http://t.co/v8TayP3E9r http://t.co/cP…","Evaluate injuries and medical urgency following the train derailment and explosions in Quebec, with reported casualties.",EMS,MMU,Derailment,Affected individuals,"Responder Roles: EMS
Disaster Type: Derailment
Tweet: RT @TODAYonline: Train carrying crude oil derails in Quebec, 1 dead, explosions destroy town’s centre http://t.co/v8TayP3E9r http://t.co/cP…
Secondary Annotations: MMU
Information Type: Affected individuals",16185
Powerful Earthquake Reported in Costa Rica http://t.co/kYreOVVw,"Police should monitor for crowd control and crime, while firefighters prepare for search and rescue after the reported earthquake.",Police/Firefighter,DCC/USAR,Earthquake,Other Useful Information,"Responder Roles: Police, Firefighter
Disaster Type: Earthquake
Tweet: Powerful Earthquake Reported in Costa Rica http://t.co/kYreOVVw
Secondary Annotations: DCC, USAR
Information Type: Other Useful Information",1816
Bangladesh Building Collapse Kills at Least 70: The collapse of an eight-story building in Bangladesh that hou... http://t.co/qhVR9vkoRF,"Firefighters should assess collapse risks and conduct rescues, while EMS must prepare for triage and support for casualties.",Firefighter/EMS,USAR/MMU,Collapse,Affected individuals,"Responder Roles: Firefighter, EMS
Disaster Type: Collapse
Tweet: Bangladesh Building Collapse Kills at Least 70: The collapse of an eight-story building in Bangladesh that hou... http://t.co/qhVR9vkoRF
Secondary Annotations: USAR, MMU
Information Type: Affected individuals",22655
Witness appeal on helicopter crash: Police officers on duty in the area of the police helicopt... http://t.co/YoCWrnweeF #Teamfollowback,Police should coordinate with DCC to manage crowd control and ensure safety around the helicopter crash site.,Police,DCC,Crash,Other Useful Information,"Responder Roles: Police
Disaster Type: Crash
Tweet: Witness appeal on helicopter crash: Police officers on duty in the area of the police helicopt... http://t.co/YoCWrnweeF #Teamfollowback
Secondary Annotations: DCC
Information Type: Other Useful Information",14766
